timestamp_unix_seconds,time_ms,frame_index,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,gaze_dir_x,gaze_dir_y,gaze_dir_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,reason,t,hit_x,hit_y,hit_z,plane_u,plane_v
1780011702.138472,5974.8,107,0.07442322373390198,0.796099841594696,0.25855886936187744,-0.5896919369697571,-0.008564796298742294,-0.106726735830307,-0.800499677658081,-0.13958398733314045,0.942267974461249,-0.30438031274193295,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.134823497697563,-0.5027319269934861,4.692211603524956,-0.9999999999999998,-0.5027319269934861,4.692211603524956
1780011702.230969,6067.3,108,0.07339885085821152,0.7986537218093872,0.2651616930961609,-0.5847644209861755,-0.00398249039426446,-0.0992245227098465,-0.8051021099090576,-0.12245853929460672,0.9407996272191549,-0.31606956129645025,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.0027951059467295,-0.41677759091162553,4.564481865318728,-1.0,-0.41677759091162553,4.564481865318728
1780011702.244936,6081.3,109,0.07386667281389236,0.7988653182983398,0.2658643424510956,-0.5834470391273499,-0.005568156950175762,-0.09800533950328827,-0.8061970472335815,-0.12333989180952498,0.9396549754249335,-0.3191172170967631,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.9667691827083673,-0.4153942090147155,4.526259717192554,-1.0,-0.4153942090147155,4.526259717192554
1780011702.327698,6164.1,110,0.07879888266324997,0.7986012697219849,0.2682114839553833,-0.5753010511398315,-0.020259488373994827,-0.09579280018806458,-0.8120603561401367,-0.1431232478326336,0.9304768998240875,-0.3372365265264035,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.7605994137651346,-0.45943031923231403,4.297752153722449,-1.0,-0.45943031923231403,4.297752153722449
1780011702.336132,6172.5,111,0.079747773706913,0.7983302474021912,0.2682998478412628,-0.5747913122177124,-0.02272060699760914,-0.09631331264972687,-0.8122944831848145,-0.1476317788019742,0.9294231598865692,-0.3381973503063411,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.750176773095441,-0.47389749412701454,4.283831393985773,-1.0,-0.47389749412701454,4.283831393985773
1780011702.422807,6259.2,112,0.08453887701034546,0.7959489822387695,0.26786524057388306,-0.5771185159683228,-0.03537249565124512,-0.10375978797674179,-0.8092693090438843,-0.17701515709403548,0.9267482098275365,-0.33136594535412145,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.826178454213064,-0.5927527031319939,4.341853015161417,-1.0,-0.5927527031319939,4.341853015161417
1780011702.433060,6269.4,113,0.08453887701034546,0.7959489822387695,0.26786524057388306,-0.5771185159683228,-0.03537249565124512,-0.10375978797674179,-0.8092693090438843,-0.17701515709403548,0.9267482098275365,-0.33136594535412145,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.826178454213064,-0.5927527031319939,4.341853015161417,-1.0,-0.5927527031319939,4.341853015161417
1780011702.518697,6355.1,114,0.08972921967506409,0.7922788262367249,0.265735924243927,-0.5838169455528259,-0.050259679555892944,-0.11462358385324478,-0.802180290222168,-0.2144730201766553,0.9251309625439366,-0.3132635085017619,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.040483139250827,-0.776845402172914,4.530254881994389,-1.0,-0.776845402172914,4.530254881994389
1780011702.585159,6421.5,115,0.09423680603504181,0.7892438173294067,0.262859046459198,-0.5882443785667419,-0.06309632211923599,-0.11624354869127274,-0.7977938652038574,-0.23743489596744793,0.9239262392681584,-0.2999749565692524,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.209881587790658,-0.9053359907973076,4.678863880501093,-1.0,-0.9053359907973076,4.678863880501093
1780011702.670634,6507.0,116,0.09910239279270172,0.7864758968353271,0.2587781250476837,-0.5884631872177124,-0.07262200117111206,-0.1153375655412674,-0.7969531416893005,-0.2514965014544058,0.9212031355827431,-0.2968742035757171,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.240106111902833,-0.9672694601463039,4.69247494232377,-1.0,-0.9672694601463039,4.69247494232377
1780011702.683250,6519.6,117,0.10039225220680237,0.7857980728149414,0.25735557079315186,-0.5889081358909607,-0.07423779368400574,-0.11468349397182465,-0.7965700030326843,-0.25334725498370625,0.9211853051521776,-0.2953519967156316,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.257142612121051,-0.9781431426482308,4.70741528903801,-1.0,-0.9781431426482308,4.70741528903801
1780011702.736755,6573.1,118,0.10214187204837799,0.7850353121757507,0.25572139024734497,-0.5889210104942322,-0.07690568268299103,-0.11369872093200684,-0.7964484691619873,-0.2564219567567572,0.9206023155233864,-0.29451512142165953,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.2636907204826295,-0.991162045503406,4.710198862127635,-1.0,-0.991162045503406,4.710198862127635
1780011702.782288,6618.7,119,0.10428062826395035,0.7841399908065796,0.2543623745441437,-0.587614119052887,-0.08131352812051773,-0.11218184232711792,-0.7971907258033752,-0.26148403374053564,0.918637192548175,-0.2961955579781469,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.234912849829739,-1.003081466249157,4.674488441860362,-1.0,-1.003081466249157,4.674488441860362
