timestamp_unix_seconds,time_ms,frame_index,available_keys,eye_key_used,eye_available,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,head_position_x,head_position_y,head_position_z,head_orientation_x,head_orientation_y,head_orientation_z,head_orientation_w
1780011698.713279,2549.6,44,eye,eye,True,0.1820354163646698,1.1116118431091309,-0.15845416486263275,0.002714032307267189,-0.31261464953422546,-0.025671742856502533,-0.949529230594635,,,,,,,
1780011698.761459,2597.8,45,eye,eye,True,0.17581120133399963,1.1069530248641968,-0.14795063436031342,-0.014497388154268265,-0.28725725412368774,-0.02928605116903782,-0.9572958946228027,,,,,,,
1780011698.822908,2659.3,46,eye,eye,True,0.16754479706287384,1.1028680801391602,-0.13833878934383392,-0.02894825115799904,-0.25958681106567383,-0.03269250690937042,-0.9647320508956909,,,,,,,
1780011698.883749,2720.1,47,eye,eye,True,0.15369832515716553,1.0982433557510376,-0.12718874216079712,-0.04635715112090111,-0.2189219444990158,-0.03635483235120773,-0.9739623069763184,,,,,,,
1780011698.951122,2787.5,48,eye,eye,True,0.13904911279678345,1.09470796585083,-0.11904708296060562,-0.05870677903294563,-0.17744937539100647,-0.03998671472072601,-0.9815632104873657,,,,,,,
1780011699.013276,2849.6,49,eye,eye,True,0.1203923150897026,1.092013955116272,-0.11208300292491913,-0.0661294013261795,-0.12488547712564468,-0.04745502397418022,-0.9888268709182739,,,,,,,
1780011699.075177,2911.5,50,eye,eye,True,0.09160798788070679,1.0879340171813965,-0.10719563812017441,-0.07418699562549591,-0.04556313529610634,-0.06046079099178314,-0.9943665862083435,,,,,,,
1780011699.132674,2969.0,51,eye,eye,True,0.05936751142144203,1.0841940641403198,-0.10740014910697937,-0.07736320793628693,0.044300444424152374,-0.07700873911380768,-0.9930368661880493,,,,,,,
1780011699.200003,3036.4,52,eye,eye,True,0.02941541001200676,1.081870675086975,-0.11219946295022964,-0.074432872235775,0.1275300830602646,-0.0942908301949501,-0.9845329523086548,,,,,,,
1780011699.255474,3091.8,53,eye,eye,True,0.013647086918354034,1.0812938213348389,-0.11603975296020508,-0.07059957832098007,0.17057064175605774,-0.10229136049747467,-0.9774752855300903,,,,,,,
